Sample wise CAZY family counts 
=================================== 
GH	no	na	nb	nr	co	ca	cb	cr	PWCG7	CG23A	CO182	CO183	TOLDC	NAPDC	FOS62_2011	FOS62_2010	FOS62_2009
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

CAZY family wise  sample read hits counts 
========================================= 
>no
	>GH 2
		LLTSP_10812
		LLTSP_14798
	>GH 3
		LLTSP_6686
	>GH 5
		LLTSP_10141
	>GH 8
		LLTSP_2730
	>GH 13
		LLTSP_12914
		LLTSP_15801
		LLTSP_1802
		LLTSP_18245
		LLTSP_18421
		LLTSP_1951
		LLTSP_19935
		LLTSP_20276
		LLTSP_3601
	>GH 15
		LLTSP_0667
		LLTSP_10348
	>GH 39
		LLTSP_11359
	>GH 57
		LLTSP_15632
		LLTSP_4185
	>GH 77
		LLTSP_19380
	>GH 92
		LLTSP_18495
	>GH 94
		LLTSP_11627
		LLTSP_17267
	>GT 2
		LLTSP_15822
		LLTSP_18363
		LLTSP_8889
	>GT 4
		LLTSP_13912
		LLTSP_16617
	>GT 9
		LLTSP_19237
	>GT 35
		LLTSP_10232
		LLTSP_17568
		LLTSP_9721
	>GT 41
		LLTSP_19147
	>GT 51
		LLTSP_12400
		LLTSP_12438
		LLTSP_13830
		LLTSP_4446
	>GT 84
		LLTSP_11627
		LLTSP_17267
	>PL 9
		LLTSP_18166
	>CE 4
		LLTSP_17191
		LLTSP_9850
	>CE 14
		LLTSP_17445
	>CE 15
		LLTSP_13483
	>CBM 48
		LLTSP_15801
		LLTSP_1951
	>CBM 50
		LLTSP_1980
>na
	>GH 1
		LLTSP_8561
	>GH 3
		LLTSP_13791
		LLTSP_14677
	>GH 6
		LLTSP_13415
	>GH 13
		LLTSP_10042
		LLTSP_1199
		LLTSP_16889
		LLTSP_17476
		LLTSP_18364
		LLTSP_4642
	>GH 15
		LLTSP_4987
		LLTSP_9664
	>GH 17
		LLTSP_7681
	>GH 36
		LLTSP_0632
	>GH 39
		LLTSP_8199
	>GH 48
		LLTSP_4327
	>GH 55
		LLTSP_9464
	>GH 57
		LLTSP_11996
		LLTSP_2391
		LLTSP_2632
	>GH 94
		LLTSP_19225
		LLTSP_4365
		LLTSP_5612
	>GH 97
		LLTSP_17713
	>GT 2
		LLTSP_10211
		LLTSP_1413
		LLTSP_18468
		LLTSP_7135
		LLTSP_7723
		LLTSP_8792
	>GT 4
		LLTSP_0510
		LLTSP_10654
		LLTSP_14563
		LLTSP_2204
		LLTSP_3539
		LLTSP_5803
	>GT 5
		LLTSP_20129
	>GT 35
		LLTSP_2092
		LLTSP_7073
	>GT 41
		LLTSP_0194
		LLTSP_0540
	>GT 51
		LLTSP_19913
