,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Viridiplantae;Streptophyta;Embryophyta;Bryophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01406272,0.509592326,0.548933501,1.697670219,0.304311074,0,0,0.24050024,0.019512195,0,0,0
Viridiplantae;Streptophyta;Embryophyta;Tracheophyta,0.86517664,0.029010734,0.12987013,0,0.020627063,1.177929324,0.162026808,0.217125797,0.084949738,0.203407068,0.243704305,0,0.101746651,0.179335081,0.548446069,0.809352518,21.61229611,11.0167961,6.204564666,1.008989176,0.332502078,0.288600289,0.370731707,0.569592522,0.49405589,0.475093579
Other_Viridiplantae,0,0,0,0,0,0,0,0,0.01415829,0,0,0,0.016957775,0,0.01406272,0,0.015683814,0.216723858,0.388841927,0.018345258,0,0.016033349,0.019512195,0,0,0
Amoebozoa,0.014419611,0.029010734,0,0,0,0.020665427,0,0.013570362,0.028316579,0,0,0.045011253,0,0,0.028125439,0.01498801,0.031367629,0.018060321,0,0.16510732,0.027708507,0,0.019512195,0.014604936,0.077196233,0.014396775
Apusozoa,0,0,0,0,0,0,0,0,0,0,0.016246954,0,0,0,0,0,0.015683814,0,0,0,0,0,0,0,0,0.014396775
Choanoflagellida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031367629,0,0,0,0,0,0,0,0,0
Cryptophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016906171,0.018345258,0,0,0,0,0,0
Euglenozoa,0,0,0.016233766,0,0,0,0,0,0,0,0,0.015003751,0,0,0,0,0.141154329,0.018060321,0.067624683,0,0,0,0,0.014604936,0,0
Ichthyosporea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027708507,0,0,0,0.015439247,0
Nucleariidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101437025,0,0,0,0,0,0.061756986,0
Rhizaria,0.100937275,0.130548303,0.048701299,0.087719298,0.082508251,0.247985121,0.088378259,0.162844348,0.325640663,0.203407068,0.194963444,0.345086272,0.186535527,0.28969513,0.042188159,0.269784173,1.599749059,0.884955752,0.743871513,1.265822785,0.332502078,0.384800385,0.273170732,0.204469111,0.385981164,0.287935502
Rhodophyta,0,0,0,0,0,0,0,0,0,0,0,0,0.03391555,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_Eukaryota,0.173035328,0.406150276,0.048701299,0.087719298,0.123762376,0.227319694,0.235675357,0.203555435,0.509698428,0.533943555,0.097481722,0.195048762,0.271324402,0.427645192,0.309379834,0.434652278,0.988080301,3.485642044,1.893491124,1.394239589,0.332502078,0.368767035,0.409756098,0.540382649,0.401420411,0.892600058
No-blast-hit,0,0.014505367,0.016233766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036690516,0,0,0,0,0,0
